BackT,Clave,F_Inicio,F_Fin,Trigger,Strike,Cupon,Rentabilidad,ProbNeut_Put,Prob_Put,NPVNeut_Put,NPV_Put,VaR95,ES95,Bloque,Vida_Media,rhoCesta,volatCesta,NPVPut_Back,NCupones_Back,Rentabilidad_Back,Fin_Ventana
1,195,43654,44011,0.9,0.95,17.730853255565556,-3.388230065884768,0.5955,0.62215,-14.76799172949634,-18.187789111707694,0.0,0.0,15.0,0.8449875,0.5141343816981484,0.22965523515390193,0.0,4.0,17.730853255565556,783
1,195,43654,44011,1.0,0.95,17.730853255565556,-3.388230065884768,0.5955,0.62215,-14.76799172949634,-18.187789111707694,0.0,0.0,15.0,0.8449875,0.5141343816981484,0.22965523515390193,0.0,4.0,17.730853255565556,783
1,195,43654,44011,1.1,0.95,17.730853255565556,-3.388230065884768,0.5955,0.62215,-14.76799172949634,-18.187789111707694,0.0,0.0,15.0,0.8449875,0.5141343816981484,0.22965523515390193,0.0,4.0,17.730853255565556,783
1,197,43654,44011,0.9,0.95,16.766553444537607,-4.364082806828929,0.6182,0.669,-14.115019251986341,-18.68108021423263,0.0,0.0,15.0,0.8651,0.41240313103601817,0.20086514019395885,0.0,4.0,16.766553444537607,783
1,197,43654,44011,1.0,0.95,16.766553444537607,-4.364082806828929,0.6182,0.669,-14.115019251986341,-18.68108021423263,0.0,0.0,15.0,0.8651,0.41240313103601817,0.20086514019395885,0.0,4.0,16.766553444537607,783
1,197,43654,44011,1.1,0.95,16.766553444537607,-4.364082806828929,0.6182,0.669,-14.115019251986341,-18.68108021423263,0.0,0.0,15.0,0.8651,0.41240313103601817,0.20086514019395885,0.0,4.0,16.766553444537607,783
1,192,43654,44011,0.9,0.95,17.26209665626674,-10.41994679046757,0.65815,0.84395,-14.846604390459719,-26.306412137124056,0.0,0.0,16.0,0.935625,0.25754287676914034,0.18404452222241074,-0.602357356491911,4.0,16.653685507697706,783
1,192,43654,44011,1.0,0.95,17.26209665626674,-10.41994679046757,0.65815,0.84395,-14.846604390459719,-26.306412137124056,0.0,0.0,16.0,0.935625,0.25754287676914034,0.18404452222241074,-0.602357356491911,4.0,16.653685507697706,783
1,192,43654,44011,1.1,0.95,17.26209665626674,-10.41994679046757,0.65815,0.84395,-14.846604390459719,-26.306412137124056,0.0,0.0,16.0,0.935625,0.25754287676914034,0.18404452222241074,-0.602357356491911,4.0,16.653685507697706,783
1,16,43654,44011,0.9,0.95,16.566076682471113,-4.574001697321334,0.5862,0.62185,-13.680022413948317,-18.366422059840993,0.0,0.0,15.0,0.8437125,0.5310598239615132,0.21792744074841167,0.0,4.0,16.566076682471113,783
1,16,43654,44011,1.0,0.95,16.566076682471113,-4.574001697321334,0.5862,0.62185,-13.680022413948317,-18.366422059840993,0.0,0.0,15.0,0.8437125,0.5310598239615132,0.21792744074841167,0.0,4.0,16.566076682471113,783
1,16,43654,44011,1.1,0.95,16.566076682471113,-4.574001697321334,0.5862,0.62185,-13.680022413948317,-18.366422059840993,0.0,0.0,15.0,0.8437125,0.5310598239615132,0.21792744074841167,0.0,4.0,16.566076682471113,783
1,196,43654,44011,0.9,0.95,16.377411337886116,-3.793743780292571,0.64025,0.64845,-13.956854968567646,-17.649552451701624,0.0,0.0,15.0,0.8568625,0.2908157985181557,0.18144579511219694,0.0,4.0,16.377411337886116,783
1,196,43654,44011,1.0,0.95,16.377411337886116,-3.793743780292571,0.64025,0.64845,-13.956854968567646,-17.649552451701624,0.0,0.0,15.0,0.8568625,0.2908157985181557,0.18144579511219694,0.0,4.0,16.377411337886116,783
1,196,43654,44011,1.1,0.95,16.377411337886116,-3.793743780292571,0.64025,0.64845,-13.956854968567646,-17.649552451701624,0.0,0.0,15.0,0.8568625,0.2908157985181557,0.18144579511219694,0.0,4.0,16.377411337886116,783
1,94,43654,44011,0.9,0.95,15.991562685239387,-3.9744094616089267,0.5539,0.5843,-12.99120233538797,-17.02057628000992,0.0,0.0,15.0,0.8265125,0.6167826528026775,0.2266210718929612,0.0,4.0,15.991562685239387,783
1,94,43654,44011,1.0,0.95,15.991562685239387,-3.9744094616089267,0.5539,0.5843,-12.99120233538797,-17.02057628000992,0.0,0.0,15.0,0.8265125,0.6167826528026775,0.2266210718929612,0.0,4.0,15.991562685239387,783
1,94,43654,44011,1.1,0.95,15.991562685239387,-3.9744094616089267,0.5539,0.5843,-12.99120233538797,-17.02057628000992,0.0,0.0,15.0,0.8265125,0.6167826528026775,0.2266210718929612,0.0,4.0,15.991562685239387,783
1,199,43654,44011,0.9,0.95,15.84748020347053,-3.932187083879219,0.62285,0.6323,-13.359730623612313,-17.208990304653067,0.0,0.0,15.0,0.8487,0.298328085582735,0.17731195920999143,0.0,4.0,15.84748020347053,783
1,199,43654,44011,1.0,0.95,15.84748020347053,-3.932187083879219,0.62285,0.6323,-13.359730623612313,-17.208990304653067,0.0,0.0,15.0,0.8487,0.298328085582735,0.17731195920999143,0.0,4.0,15.84748020347053,783
1,199,43654,44011,1.1,0.95,15.84748020347053,-3.932187083879219,0.62285,0.6323,-13.359730623612313,-17.208990304653067,0.0,0.0,15.0,0.8487,0.298328085582735,0.17731195920999143,0.0,4.0,15.84748020347053,783
1,191,43654,44011,0.9,0.95,15.777736207494852,-3.457037277224824,0.56815,0.57665,-12.944188507170878,-16.278902925054524,0.0,0.0,15.0,0.823025,0.550573535639837,0.20918816553024047,0.0,4.0,15.777736207494852,783
